Category,Name,value,Rank
POINTS PER GAME,Luka Dončić,32.7,1
POINTS PER GAME,Shai Gilgeous-Alexander,31.9,2
POINTS PER GAME,Anthony Edwards,29.6,3
POINTS PER GAME,Jaylen Brown,29.1,4
POINTS PER GAME,Tyrese Maxey,29.1,5
REBOUNDS PER GAME,Nikola Jokić,12.6,1
REBOUNDS PER GAME,Karl-Anthony Towns,11.7,2
REBOUNDS PER GAME,Donovan Clingan,11.5,3
REBOUNDS PER GAME,Rudy Gobert,11.4,4
REBOUNDS PER GAME,Victor Wembanyama,11.2,5
ASSISTS PER GAME,Nikola Jokić,10.5,1
ASSISTS PER GAME,Cade Cunningham,9.8,2
ASSISTS PER GAME,Luka Dončić,8.6,3
ASSISTS PER GAME,James Harden,8.1,4
ASSISTS PER GAME,Jalen Johnson,7.9,5
BLOCKS PER GAME,Victor Wembanyama,2.8,1
BLOCKS PER GAME,Alex Sarr,2.0,2
BLOCKS PER GAME,Chet Holmgren,2.0,3
BLOCKS PER GAME,Jay Huff,1.9,4
BLOCKS PER GAME,Evan Mobley,1.9,5
STEALS PER GAME,Tyrese Maxey,2.1,1
STEALS PER GAME,Cason Wallace,2.0,2
STEALS PER GAME,Kawhi Leonard,2.0,3
STEALS PER GAME,Dyson Daniels,1.9,4
STEALS PER GAME,Ausar Thompson,1.9,5
FIELD GOAL PERCENTAGE,Rudy Gobert,70.8,1
FIELD GOAL PERCENTAGE,Deandre Ayton,66.5,2
FIELD GOAL PERCENTAGE,Giannis Antetokounmpo,64.5,3
FIELD GOAL PERCENTAGE,Neemias Queta,64.3,4
FIELD GOAL PERCENTAGE,Jarrett Allen,63.9,5
THREE POINTERS MADE,Kon Knueppel,209,1
THREE POINTERS MADE,Tyrese Maxey,191,2
THREE POINTERS MADE,Donovan Mitchell,191,3
THREE POINTERS MADE,Donte DiVincenzo,186,4
THREE POINTERS MADE,Collin Gillespie,181,5
THREE POINT PERCENTAGE,Luke Kennard,48.8,1
THREE POINT PERCENTAGE,Jaylon Tyson,45.9,2
THREE POINT PERCENTAGE,Sam Merrill,45.8,3
THREE POINT PERCENTAGE,Bobby Portis,45.3,4
THREE POINT PERCENTAGE,Jaden McDaniels,44.9,5
FANTASY POINTS PER GAME,Nikola Jokić,62.2,1
FANTASY POINTS PER GAME,Luka Dončić,56.6,2
FANTASY POINTS PER GAME,Shai Gilgeous-Alexander,51.2,3
FANTASY POINTS PER GAME,Cade Cunningham,50.7,4
FANTASY POINTS PER GAME,Victor Wembanyama,50.4,5
